"","BorrowerAPR","LoanStatusGroup","count","RName"
"1",0,"Completed",2,1
"2",0,"Defaulted",1,2
"3",0.02,"Completed",19,3
"4",0.02,"Defaulted",4,4
"5",0.04,"Completed",10,5
"6",0.04,"Defaulted",3,6
"7",0.06,"Completed",557,7
"8",0.06,"Current",381,8
"9",0.06,"Past Due",2,9
"10",0.06,"Defaulted",19,10
"11",0.08,"Completed",2143,11
"12",0.08,"Current",1120,12
"13",0.08,"Past Due",9,13
"14",0.08,"Defaulted",86,14
"15",0.1,"Completed",2568,15
"16",0.1,"Current",1789,16
"17",0.1,"Past Due",12,17
"18",0.1,"Defaulted",273,18
"19",0.12,"Completed",3710,19
"20",0.12,"Current",2894,20
"21",0.12,"Past Due",28,21
"22",0.12,"Defaulted",703,22
"23",0.14,"Completed",3039,23
"24",0.14,"Current",5456,24
"25",0.14,"Past Due",65,25
"26",0.14,"Defaulted",800,26
"27",0.16,"Completed",3271,27
"28",0.16,"Current",4992,28
"29",0.16,"Past Due",55,29
"30",0.16,"Defaulted",1262,30
"31",0.18,"Completed",3304,31
"32",0.18,"Current",6667,32
"33",0.18,"Past Due",119,33
"34",0.18,"Defaulted",1355,34
"35",0.2,"Completed",2618,35
"36",0.2,"Current",6349,36
"37",0.2,"Past Due",155,37
"38",0.2,"Defaulted",1259,38
"39",0.22,"Completed",2347,39
"40",0.22,"Current",5918,40
"41",0.22,"Past Due",163,41
"42",0.22,"Defaulted",1158,42
"43",0.24,"Completed",2188,43
"44",0.24,"Current",4429,44
"45",0.24,"Past Due",210,45
"46",0.24,"Defaulted",1367,46
"47",0.26,"Completed",1683,47
"48",0.26,"Current",3371,48
"49",0.26,"Past Due",183,49
"50",0.26,"Defaulted",1114,50
"51",0.28,"Completed",1987,51
"52",0.28,"Current",3381,52
"53",0.28,"Past Due",238,53
"54",0.28,"Defaulted",1286,54
"55",0.3,"Completed",2473,55
"56",0.3,"Current",2834,56
"57",0.3,"Past Due",181,57
"58",0.3,"Defaulted",2156,58
"59",0.32,"Completed",1111,59
"60",0.32,"Current",2205,60
"61",0.32,"Past Due",139,61
"62",0.32,"Defaulted",561,62
"63",0.34,"Completed",1226,63
"64",0.34,"Current",1690,64
"65",0.34,"Past Due",165,65
"66",0.34,"Defaulted",710,66
"67",0.36,"Completed",2655,67
"68",0.36,"Current",3100,68
"69",0.36,"Past Due",341,69
"70",0.36,"Defaulted",1992,70
"71",0.38,"Completed",1174,71
"72",0.38,"Past Due",2,72
"73",0.38,"Defaulted",834,73
"74",0.4,"Completed",131,74
"75",0.4,"Defaulted",43,75
"76",0.42,"Completed",37,76
"77",0.42,"Defaulted",19,77
"78",0.46,"Defaulted",3,78
"79",0.48,"Defaulted",1,79
"80",0.5,"Defaulted",1,80
"81",0.52,"Completed",1,81
