"","DebtToIncomeRatio","LoanStatusGroup","count","RName"
"1",0,"Completed",655,1
"2",0,"Current",77,2
"3",0,"Past Due",3,3
"4",0,"Defaulted",207,4
"5",0.05,"Completed",3470,5
"6",0.05,"Current",1820,6
"7",0.05,"Past Due",94,7
"8",0.05,"Defaulted",1338,8
"9",0.1,"Completed",5057,9
"10",0.1,"Current",5095,10
"11",0.1,"Past Due",209,11
"12",0.1,"Defaulted",1866,12
"13",0.15,"Completed",6375,13
"14",0.15,"Current",8255,14
"15",0.15,"Past Due",282,15
"16",0.15,"Defaulted",2372,16
"17",0.2,"Completed",5948,17
"18",0.2,"Current",9392,18
"19",0.2,"Past Due",323,19
"20",0.2,"Defaulted",2385,20
"21",0.25,"Completed",4158,21
"22",0.25,"Current",8153,22
"23",0.25,"Past Due",210,23
"24",0.25,"Defaulted",1738,24
"25",0.3,"Completed",3196,25
"26",0.3,"Current",6670,26
"27",0.3,"Past Due",193,27
"28",0.3,"Defaulted",1518,28
"29",0.35,"Completed",2279,29
"30",0.35,"Current",4871,30
"31",0.35,"Past Due",167,31
"32",0.35,"Defaulted",1140,32
"33",0.4,"Completed",1455,33
"34",0.4,"Current",3240,34
"35",0.4,"Past Due",119,35
"36",0.4,"Defaulted",785,36
"37",0.45,"Completed",904,37
"38",0.45,"Current",2016,38
"39",0.45,"Past Due",86,39
"40",0.45,"Defaulted",551,40
"41",0.5,"Completed",550,41
"42",0.5,"Current",1245,42
"43",0.5,"Past Due",55,43
"44",0.5,"Defaulted",398,44
"45",0.55,"Completed",373,45
"46",0.55,"Current",718,46
"47",0.55,"Past Due",36,47
"48",0.55,"Defaulted",289,48
"49",0.6,"Completed",243,49
"50",0.6,"Current",304,50
"51",0.6,"Past Due",19,51
"52",0.6,"Defaulted",192,52
"53",0.65,"Completed",153,53
"54",0.65,"Current",139,54
"55",0.65,"Past Due",14,55
"56",0.65,"Defaulted",153,56
"57",0.7,"Completed",114,57
"58",0.7,"Current",102,58
"59",0.7,"Past Due",12,59
"60",0.7,"Defaulted",91,60
"61",0.75,"Completed",73,61
"62",0.75,"Current",72,62
"63",0.75,"Past Due",7,63
"64",0.75,"Defaulted",60,64
"65",0.8,"Completed",49,65
"66",0.8,"Current",45,66
"67",0.8,"Past Due",5,67
"68",0.8,"Defaulted",39,68
"69",0.85,"Completed",51,69
"70",0.85,"Current",42,70
"71",0.85,"Past Due",3,71
"72",0.85,"Defaulted",42,72
"73",0.9,"Completed",34,73
"74",0.9,"Current",29,74
"75",0.9,"Past Due",2,75
"76",0.9,"Defaulted",33,76
"77",0.95,"Completed",32,77
"78",0.95,"Current",28,78
"79",0.95,"Past Due",2,79
"80",0.95,"Defaulted",19,80
"81",1,"Completed",7,81
"82",1,"Current",10,82
"83",1,"Defaulted",9,83
